Steps,LER,BER,Throughput
1,0.0008313301282051282,0.00013625968215811966,14146.655833131075
10,0.0006109775641025641,0.00013208633814102563,1205.132504660536
20,0.0005809294871794872,0.00012853899572649573,541.1338311193847
30,0.0005709134615384616,0.00012645232371794873,363.64533952294335
40,0.0005608974358974359,0.00012666099091880343,272.114440090238
50,0.000555889423076923,0.00012728699252136753,217.4852212418144
60,0.0005508814102564103,0.00012749565972222223,181.57989783922898
70,0.0005508814102564103,0.00012749565972222223,154.94139673264365
80,0.0005508814102564103,0.00012749565972222223,135.94826335733177
90,0.0005508814102564103,0.00012749565972222223,120.76458044588037
100,0.0005458733974358974,0.00012728699252136753,108.7963597104259
200,0.0005508814102564103,0.00012728699252136753,54.26774252328666
